0.99999,4.2181e-06,6.6889e-07,7.1312e-07,2.675e-07,3.4302e-08,1.5651e-08,1.6399e-09,3.3532e-06,2.5693e-06
0.99999,5.3388e-06,1.3684e-06,1.2765e-06,9.7929e-07,1.2948e-07,6.6901e-08,1.2312e-08,3.3734e-06,5.8216e-06
0.99999,6.7578e-06,2.1391e-06,1.8178e-06,2.0834e-06,2.8475e-07,1.6579e-07,4.0314e-08,3.4247e-06,9.9389e-06
0.99998,8.5546e-06,3.0253e-06,2.4101e-06,3.5847e-06,5.0578e-07,3.2648e-07,9.431e-08,3.5207e-06,1.5151e-05
0.99997,1.083e-05,4.0774e-06,3.1099e-06,5.5297e-06,8.0328e-07,5.6613e-07,1.841e-07,3.6761e-06,2.175e-05
0.99997,1.371e-05,5.3549e-06,3.9688e-06,8.0008e-06,1.1928e-06,9.0581e-07,3.2132e-07,3.9077e-06,3.0104e-05
0.99996,1.7357e-05,6.9298e-06,5.0416e-06,1.1116e-05,1.695e-06,1.3718e-06,5.2008e-07,4.2363e-06,4.0681e-05
0.99994,2.1974e-05,8.8906e-06,6.392e-06,1.5033e-05,2.3369e-06,1.997e-06,7.9781e-07,4.687e-06,5.4072e-05
0.99993,2.782e-05,1.1347e-05,8.0973e-06,1.9958e-05,3.1532e-06,2.8227e-06,1.1762e-06,5.2918e-06,7.1025e-05
0.9999,3.522e-05,1.4437e-05,1.0254e-05,2.6153e-05,4.1882e-06,3.9013e-06,1.6824e-06,6.0905e-06,9.2487e-05
0.99988,4.4589e-05,1.8334e-05,1.2983e-05,3.3955e-05,5.4982e-06,5.2987e-06,2.3504e-06,7.1335e-06,0.00011966
0.99984,5.6449e-05,2.3254e-05,1.6438e-05,4.3789e-05,7.1549e-06,7.0985e-06,3.2231e-06,8.4846e-06,0.00015406
0.9998,7.1463e-05,2.9473e-05,2.081e-05,5.6196e-05,9.2491e-06,9.4062e-06,4.3547e-06,1.0224e-05,0.0001976
0.99974,9.0466e-05,3.7339e-05,2.6345e-05,7.186e-05,1.1896e-05,1.2356e-05,5.8136e-06,1.2454e-05,0.00025272
0.99967,0.00011452,4.7289e-05,3.3351e-05,9.1649e-05,1.5243e-05,1.6116e-05,7.6861e-06,1.5304e-05,0.0003225
0.99959,0.00014496,5.988e-05,4.2218e-05,0.00011666,1.9473e-05,2.0901e-05,1.0081e-05,1.8937e-05,0.00041082
0.99947,0.00018347,7.5811e-05,5.344e-05,0.00014828,2.4822e-05,2.6983e-05,1.3138e-05,2.356e-05,0.0005226
0.99933,0.00023221,9.5969e-05,6.764e-05,0.00018827,3.1587e-05,3.4704e-05,1.703e-05,2.9435e-05,0.00066406
0.99915,0.00029385,0.00012147,8.5606e-05,0.00023884,4.0142e-05,4.4499e-05,2.198e-05,3.6892e-05,0.00084305
0.99893,0.00037181,0.00015374,0.00010833,0.00030281,5.0962e-05,5.6917e-05,2.8267e-05,4.6352e-05,0.0010695
0.99864,0.00047037,0.00019455,0.00013707,0.00038373,6.4648e-05,7.2652e-05,3.6245e-05,5.8345e-05,0.0013559
0.99828,0.00059492,0.00024616,0.00017341,0.00048607,8.1957e-05,9.2584e-05,4.6363e-05,7.3541e-05,0.0017181
0.99782,0.00075225,0.00031139,0.00021933,0.00061549,0.00010385,0.00011782,5.9185e-05,9.2788e-05,0.002176
0.99724,0.00095084,0.00039382,0.00027734,0.00077912,0.00013153,0.00014977,7.5428e-05,0.00011716,0.0027545
